,一共游戏场数,4303
,,INF・DrakenN,50,72.46%
,,志Sauloㅤツ,15,44.12%
,,nb_7,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		瞬间失忆	伤药	,56,70.0%,3
,,冲浪		意念移物	伤药	,16,47.06%,3
,,热水		瞬间失忆	伤药	,6,40.0%,10
,,热水		意念移物	速度强化,1,100.0%,1
,,热水		意念移物	伤药	,1,33.33%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	气势头带,24,51.06%,5
,,讲究眼镜	进击眼镜	气势头带,3,60.0%,3
,,亿奥斯饼干	进击眼镜	气势头带,2,28.57%,2
,,讲究眼镜	气势头带	贝壳之铃,50,72.46%,1
,,讲究眼镜	气势头带	博识眼镜,1,100.0%,1
,,讲究眼镜	学习装置	气势头带,0,0.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
,,救援屏障	气势头带	贝壳之铃,0,0.0%,1
,,讲究眼镜	进击眼镜	贝壳之铃,0,0.0%,1
15,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,24,3.09%,96,72.18%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,芥川やま,27,72.97%
,,你是溫柔本身,25,75.76%
,,INF・Anemo,8,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		攻击强化,67,71.28%,18
,,电光		疯狂伏特	伤药	,24,75.0%,1
,,伏特替换	放电		伤药	,1,100.0%,1
,,电光		疯狂伏特	攻击强化,1,100.0%,1
,,伏特替换	放电		向尾喵的尾巴,1,100.0%,1
,,伏特替换	放电		逃脱按键,1,100.0%,1
,,伏特替换	放电		万灵药,1,50.0%,2
,,电光		疯狂伏特	逃脱按键,0,0.0%,1
