,一共游戏场数,6766
1,阿罗拉雷丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,猛攻哑铃	能量增幅器	锐利之爪,20,83.33%,1
,,弱点保险	焦点镜	锐利之爪,15,78.95%,1
,,力量头带	焦点镜	连打围巾,8,66.67%,1
,,力量头带	弱点保险	猛攻哑铃,3,100.0%,1
,,力量头带	增速护腕	锐利之爪,2,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,增速护腕	焦点镜	猛攻哑铃,1,50.0%,1
,,充能坠饰	增速护腕	锐利之爪,1,33.33%,1
10,爆肌蚊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,68,4.77%,229,70.9%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IGZ_Kapi,22,84.62%
,,BTC_Daniel,14,82.35%
,,4lbert_w,14,73.68%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,击落		蛮力		逃脱按键,98,72.06%,45
,,击落		汲取		逃脱按键,76,67.86%,37
,,猛扑		汲取		逃脱按键,31,67.39%,21
,,击落		汲取		速度强化,10,83.33%,3
,,猛扑		蛮力		逃脱按键,8,88.89%,4
,,猛扑		汲取		速度强化,5,83.33%,4
,,击落		汲取		攻击强化,1,100.0%,1
,,击落		蛮力		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增速护腕	气势头带	猛攻哑铃,130,74.71%,24
,,力量头带	气势头带	猛攻哑铃,12,66.67%,10
,,力量头带	增速护腕	猛攻哑铃,14,73.68%,8
,,增速护腕	弱点保险	猛攻哑铃,21,70.0%,5
,,弱点保险	气势头带	猛攻哑铃,7,50.0%,4
,,增速护腕	气势头带	连打围巾,4,66.67%,2
,,力量头带	猛攻哑铃	连打围巾,2,100.0%,2
,,力量头带	增速护腕	气势头带,9,75.0%,1
,,增速护腕	学习装置	猛攻哑铃,8,61.54%,1
,,力量头带	弱点保险	猛攻哑铃,8,61.54%,1
,,气势头带	猛攻哑铃	连打围巾,7,70.0%,1
,,力量头带	猛攻哑铃	轻石,2,50.0%,1
,,学习装置	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	增速护腕	连打围巾,1,100.0%,1
,,学习装置	弱点保险	气势头带,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,100.0%,1
,,力量头带	增速护腕	锐利之爪,1,100.0%,1
,,增速护腕	气势头带	突击背心,0,0.0%,1
,,增速护腕	学习装置	气势头带,0,0.0%,1
,,增速护腕	弱点保险	连打围巾,0,0.0%,1
11,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,64,4.52%,218,71.24%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Wolf運ぶ,41,74.55%
,,だあひよん',25,92.59%
,,AXIZ_Yupono,19,70.37%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	速度强化,138,72.63%,40
,,移花接木	祈愿		速度强化,26,81.25%,15
,,黑色目光	祈愿		速度强化,18,56.25%,18
,,黑色目光	大声咆哮	速度强化,11,52.38%,7
,,移花接木	祈愿		逃脱按键,9,90.0%,3
,,黑色目光	祈愿		逃脱按键,8,80.0%,6
,,移花接木	大声咆哮	逃脱按键,8,80.0%,3
,,黑色目光	大声咆哮	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,45,73.77%,16
,,学习装置	救援屏障	气势头带,65,69.15%,13
,,学习装置	气势头带	猛攻哑铃,17,77.27%,7
,,共鸣护盾	学习装置	气势头带,4,57.14%,5
,,增速护腕	学习装置	气势头带,5,62.5%,4
,,学习装置	救援屏障	猛攻哑铃,3,60.0%,3
,,学习装置	气势头带	轻石,8,80.0%,2
,,共鸣护盾	学习装置	救援屏障,6,85.71%,2
,,学习装置	猛攻哑铃	轻石,3,42.86%,2
,,共鸣护盾	学习装置	突击背心,41,74.55%,1
,,共鸣护盾	增速护腕	气势头带,11,84.62%,1
,,亿奥斯饼干	学习装置	猛攻哑铃,3,75.0%,1
,,凸凸头盔	学习装置	气势头带,2,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,66.67%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,100.0%,1
,,增速护腕	学习装置	救援屏障,1,100.0%,1
,,咒术手镯	学习装置	气势头带,1,25.0%,1
,,亿奥斯饼干	凸凸头盔	学习装置,0,0.0%,1
,,学习装置	气势头带	突击背心,0,0.0%,1
12,暴鲤龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,4.39%,196,65.99%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Raichuuu....,19,51.35%
,,ONIC・Cell,17,73.91%
,,AXIZ_Yupono,16,88.89%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		攀瀑		伤药	,137,70.62%,45
,,龙息		弹跳		逃脱按键,41,57.75%,21
,,龙息		弹跳		万灵药,7,53.85%,1
,,龙息		弹跳		伤药	,6,85.71%,4
,,龙息		弹跳		速度强化,3,42.86%,1
,,水流尾	攀瀑		伤药	,2,100.0%,2
,,龙息		攀瀑		逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,凸凸头盔	气势头带	猛攻哑铃,52,67.53%,12
,,增速护腕	气势头带	猛攻哑铃,26,72.22%,10
,,弱点保险	气势头带	猛攻哑铃,3,60.0%,4
,,增速护腕	猛攻哑铃	锐利之爪,22,50.0%,3
,,力量头带	猛攻哑铃	锐利之爪,17,62.96%,3
,,凸凸头盔	弱点保险	气势头带,4,66.67%,3
,,力量头带	增速护腕	猛攻哑铃,3,50.0%,3
,,增速护腕	弱点保险	气势头带,17,70.83%,2
,,凸凸头盔	增速护腕	猛攻哑铃,5,83.33%,2
,,凸凸头盔	猛攻哑铃	锐利之爪,4,57.14%,2
,,力量头带	气势头带	猛攻哑铃,2,100.0%,2
,,凸凸头盔	增速护腕	气势头带,1,50.0%,2
,,学习装置	弱点保险	气势头带,16,88.89%,1
,,凸凸头盔	力量头带	猛攻哑铃,5,71.43%,1
,,气势头带	猛攻哑铃	锐利之爪,3,100.0%,1
,,气势头带	猛攻哑铃	突击背心,3,42.86%,1
,,力量头带	弱点保险	锐利之爪,3,42.86%,1
,,学习装置	气势头带	猛攻哑铃,2,100.0%,1
,,力量头带	增速护腕	气势头带,2,66.67%,1
,,增速护腕	猛攻哑铃	能量增幅器,1,100.0%,1
,,凸凸头盔	力量头带	增速护腕,1,100.0%,1
,,凸凸头盔	力量头带	气势头带,1,100.0%,1
,,增速护腕	气势头带	锐利之爪,1,100.0%,1
