,一共游戏场数,11348
1,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,33.33%,1
,,亿奥斯饼干	气势头带	连打围巾,0,0.0%,1
,,力量头带	焦点镜	锐利之爪,0,0.0%,1
,,亿奥斯饼干	弱点保险	气势头带,0,0.0%,1
7,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,62,5.68%,493,76.43%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,中村さんそ,48,68.57%
,,EeveeFofaㅤ,39,88.64%
,,유메_ゆめ,35,81.4%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		魔法叶	迟缓烟雾,380,76.15%,56
,,花疗		打草结	迟缓烟雾,101,78.91%,15
,,花疗		魔法叶	逃脱按键,6,66.67%,3
,,天使之吻	打草结	迟缓烟雾,3,50.0%,3
,,天使之吻	魔法叶	迟缓烟雾,1,100.0%,1
,,花疗		打草结	逃脱按键,1,100.0%,1
,,花疗		打草结	脱壳忍者玩偶,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	学习装置	援助头巾,72,72.0%,16
,,博识眼镜	学习装置	进击眼镜,79,84.95%,11
,,学习装置	援助头巾	进击眼镜,92,77.97%,8
,,学习装置	救援屏障	进击眼镜,85,78.7%,8
,,博识眼镜	学习装置	救援屏障,21,58.33%,5
,,学习装置	援助头巾	救援屏障,39,79.59%,4
,,博识眼镜	学习装置	讲究眼镜,40,81.63%,3
,,学习装置	援助头巾	贝壳之铃,12,75.0%,3
,,学习装置	讲究眼镜	进击眼镜,48,68.57%,1
,,博识眼镜	学习装置	贝壳之铃,3,75.0%,1
,,援助头巾	救援屏障	进击眼镜,1,100.0%,1
,,学习装置	救援屏障	能量增幅器,1,100.0%,1
8,拉普拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,75,4.91%,422,75.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MYSヤFroggy,67,82.72%
,,LH-油Bad_ʙoʏ,33,71.74%
,,T3S.Ward,19,86.36%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终焉之歌	冰冻光束	速度强化,250,76.45%,48
,,终焉之歌	泡沫光线	速度强化,92,76.67%,34
,,水之波动	泡沫光线	速度强化,63,71.59%,21
,,水之波动	泡沫光线	万灵药,8,88.89%,1
,,终焉之歌	泡沫光线	伤药	,3,75.0%,2
,,水之波动	冰冻光束	速度强化,2,100.0%,2
,,终焉之歌	冰冻光束	伤药	,2,50.0%,4
,,水之波动	泡沫光线	伤药	,1,100.0%,1
,,终焉之歌	冰冻光束	逃脱按键,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	穿透汤匙,256,78.05%,34
,,气势头带	穿透汤匙	进击眼镜,130,73.45%,29
,,气势头带	讲究眼镜	进击眼镜,3,100.0%,2
,,亿奥斯饼干	气势头带	进击眼镜,3,42.86%,2
,,亿奥斯饼干	气势头带	穿透汤匙,11,64.71%,1
,,学习装置	气势头带	突击背心,6,85.71%,1
,,学习装置	气势头带	进击眼镜,5,62.5%,1
,,博识眼镜	气势头带	穿透汤匙,3,75.0%,1
,,气势头带	穿透汤匙	讲究眼镜,2,100.0%,1
,,博识眼镜	气势头带	讲究眼镜,2,100.0%,1
,,亿奥斯饼干	学习装置	气势头带,1,100.0%,1
,,气势头带	穿透汤匙	贝壳之铃,0,0.0%,1
9,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,78,3.92%,308,69.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,"神速ruka_M,M",24,66.67%
,,ttvSadRekirr,23,85.19%
,,LFTヤGenius,20,74.07%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,197,71.12%,51
,,增强拳	近身战	逃脱按键,44,62.86%,27
,,增强拳	近身战	万灵药,26,70.27%,11
,,增强拳	近身战	攻击强化,9,75.0%,9
,,神速		近身战	逃脱按键,7,70.0%,6
,,神速		骨棒乱打	逃脱按键,6,85.71%,6
,,增强拳	近身战	速度强化,6,66.67%,8
,,神速		近身战	攻击强化,4,44.44%,1
,,神速		骨棒乱打	速度强化,3,100.0%,2
,,增强拳	近身战	迟缓烟雾,3,100.0%,3
,,神速		近身战	万灵药,2,33.33%,6
,,增强拳	骨棒乱打	万灵药,1,100.0%,1
,,神速		骨棒乱打	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,156,73.24%,27
,,弱点保险	猛攻哑铃	锐利之爪,32,50.0%,18
,,力量头带	猛攻哑铃	锐利之爪,38,71.7%,10
,,弱点保险	气势头带	猛攻哑铃,3,60.0%,5
,,力量头带	气势头带	猛攻哑铃,24,70.59%,4
,,弱点保险	猛攻哑铃	能量增幅器,16,72.73%,4
,,力量头带	猛攻哑铃	能量增幅器,10,71.43%,2
,,弱点保险	猛攻哑铃	轻石,9,100.0%,2
,,气势头带	猛攻哑铃	锐利之爪,8,88.89%,1
,,猛攻哑铃	能量增幅器	锐利之爪,4,80.0%,1
,,猛攻哑铃	轻石	锐利之爪,3,30.0%,1
,,得分护盾	猛攻哑铃	轻石,2,100.0%,1
,,弱点保险	轻石	锐利之爪,2,50.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
