,一共游戏场数,9194
1,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
10,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,5.91%,396,72.93%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,前茶.,49,83.05%
,,すみぽこら,44,67.69%
,,yuyu1123,28,84.85%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	暗影爪	万灵药,158,76.7%,26
,,暗袭要害	居合劈	万灵药,115,71.88%,23
,,出奇一击	暗影爪	万灵药,60,69.77%,14
,,出奇一击	居合劈	逃脱按键,26,86.67%,1
,,出奇一击	居合劈	万灵药,24,55.81%,10
,,暗袭要害	居合劈	攻击强化,5,83.33%,3
,,出奇一击	居合劈	攻击强化,4,80.0%,2
,,暗袭要害	暗影爪	攻击强化,2,50.0%,1
,,暗袭要害	居合劈	伤药	,1,100.0%,1
,,暗袭要害	暗影爪	逃脱按键,1,100.0%,1
,,出奇一击	暗影爪	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	锐利之爪,103,70.55%,20
,,气势头带	力量头带	锐利之爪,131,75.29%,9
,,猛攻哑铃	气势头带	锐利之爪,44,86.27%,7
,,猛攻哑铃	锐利之爪	弱点保险,61,68.54%,5
,,猛攻哑铃	气势头带	弱点保险,14,58.33%,2
,,猛攻哑铃	气势头带	力量头带,5,83.33%,2
,,亿奥斯饼干	锐利之爪	弱点保险,0,0.0%,2
,,治愈王冠	猛攻哑铃	锐利之爪,9,81.82%,1
,,猛攻哑铃	轻石		弱点保险,6,75.0%,1
,,猛攻哑铃	力量头带	弱点保险,5,83.33%,1
,,猛攻哑铃	轻石		锐利之爪,5,83.33%,1
,,能量增幅器	猛攻哑铃	气势头带,3,75.0%,1
,,能量增幅器	猛攻哑铃	锐利之爪,3,60.0%,1
,,猛攻哑铃	气势头带	焦点镜,2,100.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,2,100.0%,1
,,轻石		锐利之爪	弱点保险,1,100.0%,1
,,轻石		锐利之爪	焦点镜,1,100.0%,1
,,连打围巾	锐利之爪	弱点保险,1,100.0%,1
,,救援屏障	锐利之爪	弱点保险,0,0.0%,1
,,连打围巾	猛攻哑铃	锐利之爪,0,0.0%,1
,,猛攻哑铃	力量头带	焦点镜,0,0.0%,1
11,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,4.89%,354,78.67%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,牛乳ロックで,110,85.94%
,,ttv9usk,62,75.61%
,,YORU04,21,67.74%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	蓄能焰袭	逃脱按键,163,81.91%,31
,,魔法火焰	蓄能焰袭	速度强化,122,80.26%,18
,,魔法火焰	蓄能焰袭	万灵药,64,70.33%,5
,,魔法火焰	火焰旋涡	速度强化,4,80.0%,4
,,魔法火焰	火焰旋涡	万灵药,1,50.0%,2
,,魔法火焰	火焰旋涡	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	贝壳之铃,82,79.61%,21
,,讲究眼镜	能量增幅器	博识眼镜,79,71.82%,9
,,讲究眼镜	贝壳之铃	博识眼镜,24,82.76%,5
,,能量增幅器	救援屏障	贝壳之铃,130,83.33%,3
,,讲究眼镜	能量增幅器	气势头带,8,61.54%,3
,,能量增幅器	贝壳之铃	博识眼镜,4,100.0%,2
,,讲究眼镜	气势头带	博识眼镜,2,100.0%,2
,,能量增幅器	救援屏障	气势头带,19,79.17%,1
,,进击眼镜	力量头带	贝壳之铃,2,100.0%,1
