,一共游戏场数,4061
,,潜灵奇袭	异次元洞	迟缓烟雾,1,100.0%,1
,,潜灵奇袭	异次元洞	向尾喵的尾巴,1,33.33%,1
,,暗影球	戏法		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	学习装置	气势头带,162,73.64%,21
,,力量头带	学习装置	救援屏障,44,74.58%,2
,,力量头带	学习装置	连打围巾,4,66.67%,2
,,学习装置	气势头带	能量增幅器,5,62.5%,1
,,学习装置	气势头带	讲究眼镜,4,80.0%,1
,,学习装置	救援屏障	气势头带,3,100.0%,1
,,学习装置	气势头带	连打围巾,2,66.67%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
,,气势头带	能量增幅器	讲究眼镜,1,100.0%,1
,,力量头带	焦点镜	连打围巾,1,100.0%,1
,,气势头带	能量增幅器	贝壳之铃,1,50.0%,1
,,能量增幅器	讲究眼镜	进击眼镜,0,0.0%,1
10,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,7.46%,208,68.65%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OgZ_nëët,28,84.85%
,,ゲコ引退,26,61.9%
,,INOJI,23,76.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,179,69.65%,36
,,圣剑		广域防守	万灵药,16,66.67%,8
,,暗影爪	铁头		伤药	,6,50.0%,2
,,圣剑		广域防守	速度强化,5,100.0%,3
,,暗影爪	广域防守	伤药	,1,100.0%,1
,,圣剑		广域防守	逃脱按键,1,100.0%,1
,,圣剑		铁头		伤药	,0,0.0%,2
,,暗影爪	铁头		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	气势头带,76,70.37%,10
,,弱点保险	气势头带	锐利之爪,42,63.64%,9
,,力量头带	弱点保险	锐利之爪,32,74.42%,7
,,弱点保险	气势头带	猛攻哑铃,19,73.08%,4
,,力量头带	气势头带	锐利之爪,9,75.0%,4
,,气势头带	猛攻哑铃	锐利之爪,12,75.0%,2
,,力量头带	弱点保险	猛攻哑铃,1,50.0%,2
,,力量头带	学习装置	弱点保险,5,100.0%,1
,,弱点保险	气势头带	突击背心,5,45.45%,1
,,弱点保险	气势头带	治愈王冠,3,60.0%,1
,,亿奥斯饼干	弱点保险	气势头带,2,100.0%,1
,,弱点保险	气势头带	轻石,2,50.0%,1
,,力量头带	气势头带	能量增幅器,0,0.0%,1
,,治愈王冠	焦点镜	猛攻哑铃,0,0.0%,1
,,气势头带	焦点镜	锐利之爪,0,0.0%,1
11,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,45,7.39%,213,71.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CG・Gohan04,30,81.08%
,,MOSHIMOSHI04,24,55.81%
,,MG・RëX,20,62.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,热水		瞬间失忆	伤药	,54,72.0%,16
,,冲浪		瞬间失忆	伤药	,53,73.61%,13
,,热水		瞬间失忆	逃脱按键,41,71.93%,15
,,冲浪		意念移物	逃脱按键,25,78.12%,6
,,热水		意念移物	伤药	,10,71.43%,9
,,冲浪		瞬间失忆	逃脱按键,8,50.0%,10
,,热水		瞬间失忆	速度强化,7,77.78%,5
,,冲浪		意念移物	伤药	,7,70.0%,4
,,冲浪		瞬间失忆	速度强化,3,75.0%,2
,,冲浪		意念移物	速度强化,3,50.0%,1
,,热水		意念移物	逃脱按键,2,40.0%,5
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	讲究眼镜,143,71.86%,22
,,学习装置	救援屏障	气势头带,17,77.27%,6
,,气势头带	讲究眼镜	进击眼镜,18,72.0%,5
,,博识眼镜	学习装置	气势头带,11,91.67%,2
,,博识眼镜	气势头带	讲究眼镜,11,78.57%,1
,,博识眼镜	讲究眼镜	进击眼镜,5,41.67%,1
,,亿奥斯饼干	救援屏障	气势头带,3,100.0%,1
,,救援屏障	气势头带	进击眼镜,1,100.0%,1
,,学习装置	得分护盾	气势头带,1,100.0%,1
,,救援屏障	能量增幅器	讲究眼镜,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,33.33%,1
,,救援屏障	气势头带	讲究眼镜,1,20.0%,1
,,学习装置	气势头带	突击背心,0,0.0%,1
,,力量头带	气势头带	讲究眼镜,0,0.0%,1
12,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,5.84%,169,71.31%
