,一共游戏场数,8059
,,博识眼镜	穿透汤匙	能量增幅器,23,71.88%,5
,,气势头带	穿透汤匙	讲究眼镜,19,65.52%,5
,,博识眼镜	穿透汤匙	贝壳之铃,7,63.64%,2
,,穿透汤匙	能量增幅器	贝壳之铃,2,50.0%,2
,,力量头带	气势头带	连打围巾,39,70.91%,1
,,学习装置	穿透汤匙	讲究眼镜,6,50.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,1,50.0%,1
,,气势头带	穿透汤匙	能量增幅器,0,0.0%,1
,,博识眼镜	气势头带	穿透汤匙,0,0.0%,1
8,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,50,4.14%,240,71.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RustyMoon,41,80.39%
,,챠뮤,25,67.57%
,,Kleu,19,57.58%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,黑色目光	祈愿		速度强化,62,73.81%,13
,,移花接木	大声咆哮	逃脱按键,44,75.86%,9
,,黑色目光	祈愿		逃脱按键,44,66.67%,14
,,黑色目光	大声咆哮	逃脱按键,40,72.73%,14
,,黑色目光	大声咆哮	速度强化,36,78.26%,13
,,移花接木	大声咆哮	速度强化,6,60.0%,8
,,移花接木	祈愿		逃脱按键,3,60.0%,2
,,移花接木	祈愿		速度强化,2,100.0%,2
,,移花接木	祈愿		万灵药,1,100.0%,1
,,移花接木	大声咆哮	脱壳忍者玩偶,1,100.0%,1
,,黑色目光	大声咆哮	伤药	,1,33.33%,3
,,黑色目光	祈愿		伤药	,0,0.0%,3
